id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
111,221900,3,1,1180,5650,1,average,7,1180,0,1955,,98178,47.5112,-122.257,1340,5650
112,538000,3,2.25,2570,7242,2,average,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639
113,180000,2,1,770,10000,1,average,6,770,0,1933,,98028,47.7379,-122.233,2720,8062
114,604000,4,3,1960,5000,1,devastated,7,1050,910,1965,,98136,47.5208,-122.393,1360,5000
115,510000,3,2,1680,8080,1,average,8,1680,0,1987,,98074,47.6168,-122.045,1800,7503
116,,4,4.5,5420,101930,1,average,11,3890,1530,2001,,98053,47.6561,-122.005,4760,101930
117,257500,3,2.25,1715,6819,2,average,7,1715,0,1995,,98003,47.3097,-122.327,2238,6819
118,291850,3,1.5,1060,9711,1,average,7,1060,0,1963,,98198,47.4095,-122.315,1650,9711
119,229500,3,1,1780,7470,1,average,7,1050,730,1960,,98146,47.5123,-122.337,1780,8113
120,323000,3,2.5,1890,6560,2,average,7,1890,0,2003,,98038,47.3684,-122.031,2390,7570
121,662500,3,2.5,3560,9796,1,average,8,1860,1700,1965,,98007,47.6007,-122.145,2210,8925
122,468000,2,1,1160,6000,1,bad,7,860,300,1942,,98115,47.69,-122.292,1330,6000
123,310000,3,1,1430,19901,1.5,bad,7,1430,0,1927,,98028,47.7558,-122.229,1780,12697
124,400000,3,1.75,1370,9680,1,bad   ,7,1370,0,1977,,98074,47.6127,-122.045,1370,10208
125,530000,5,2,1810,4850,1.5,average,7,1810,0,1900,,98107,47.67,-122.394,1360,4850
126,650000,4,3,2950,5000,2,average,9,1980,970,1979,,98126,47.5714,-122.375,2140,4000
127,395000,3,2,1890,14040,2,average,7,1890,0,1994,,98019,47.7277,-121.962,1890,14018
128,485000,4,1,1600,4300,1.5,bad,7,1600,0,1916,,98103,47.6648,-122.343,1610,4300
129,189000,2,1,1200,9850,1,bad,7,1200,0,1921,,98002,47.3089,-122.21,1060,5095
130,230000,3,1,1250,9774,1,bad   ,7,1250,0,1969,,98003,47.3343,-122.306,1280,8850
131,385000,4,1.75,1620,4980,1,bad,7,860,760,1947,,98133,47.7025,-122.341,1400,4980
132,,3,2.75,3050,44867,1,average,9,2330,720,1968,,98040,47.5316,-122.233,4110,20336
133,285000,5,2.5,2270,6300,2,average,8,2270,0,1995,,98092,47.3266,-122.169,2240,7005
134,252700,2,1.5,1070,9643,1,average,7,1070,0,1985,,98030,47.3533,-122.166,1220,8386
135,329000,3,2.25,2450,6500,2,bad,8,2450,0,1985,,98030,47.3739,-122.172,2200,6865
136,233000,3,2,1710,4697,1.5,devastated,6,1710,0,1941,,98002,47.3048,-122.218,1030,4705
137,937000,3,1.75,2450,2691,2,average,8,1750,700,1915,,98119,47.6386,-122.36,1760,3573
138,667000,3,1,1400,1581,1.5,devastated,8,1400,0,1909,,98112,47.6221,-122.314,1860,3861
139,438000,3,1.75,1520,6380,1,average,7,790,730,1948,,98115,47.695,-122.304,1520,6235
140,719000,4,2.5,2570,7173,2,average,8,2570,0,2005,,98052,47.7073,-122.11,2630,6026
141,580500,3,2.5,2320,3980,2,average,8,2320,0,2003,,98027,47.5391,-122.07,2580,3980
142,280000,2,1.5,1190,1265,3,average,7,1190,0,2005,,98133,47.7274,-122.357,1390,1756
143,687500,4,1.75,2330,5000,1.5,bad,7,1510,820,1929,,98117,47.6823,-122.368,1460,5000
144,535000,3,1,1090,3000,1.5,bad,8,1090,0,1929,,98117,47.6889,-122.375,1570,5080
145,322500,4,2.75,2060,6659,1,average,7,1280,780,1981,,98058,47.4276,-122.157,2020,8720
146,696000,3,2.5,2300,3060,1.5,average,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264
147,550000,4,1,1660,34848,1,excellent,5,930,730,1933,,98052,47.6621,-122.132,2160,11467
148,640000,4,2,2360,6000,2,bad,8,2360,0,1904,,98107,47.6702,-122.362,1730,4700
149,240000,4,1,1220,8075,1,good,7,890,330,1969,,98001,47.3341,-122.282,1290,7800
150,605000,4,2.5,2620,7553,2,average,8,2620,0,1996,,98056,47.5301,-122.18,2620,11884
151,625000,4,2.5,2570,5520,2,average,9,2570,0,2000,,98074,47.6145,-122.027,2470,5669
152,,4,2.25,4220,24186,1,average,8,2600,1620,1984,,98166,47.445,-122.347,2410,30617
153,861990,5,2.75,3595,5639,2,average,9,3595,0,2014,,98053,47.6848,-122.016,3625,5639
154,685000,3,1,1570,2280,2,average,7,1570,0,1922,,98119,47.6413,-122.364,1580,2640
155,,3,1,1280,9656,1,bad,6,920,360,1959,,98058,47.4485,-122.175,1340,8808
156,488000,3,2.5,3160,13603,2,average,8,3160,0,2003,,98019,47.7443,-121.977,3050,9232
157,210490,3,1,990,8528,1,average,6,990,0,1966,,98023,47.3066,-122.371,1228,8840
158,785000,4,2.5,2290,13416,2,bad,9,2290,0,1981,,98007,47.6194,-122.151,2680,13685
159,450000,3,1.75,1250,5963,1,bad   ,7,1250,0,1953,,98115,47.6796,-122.301,970,5100
160,,3,2.5,2753,65005,1,devastated,9,2165,588,1953,,98070,47.4041,-122.451,2680,72513
161,228000,3,1,1190,9199,1,average,7,1190,0,1955,,98148,47.4258,-122.322,1190,9364
162,345000,5,2.5,3150,9134,1,bad,8,1640,1510,1966,,98056,47.4934,-122.189,1990,9133
163,600000,3,1.75,1410,4080,1,bad,7,1000,410,1950,,98117,47.6808,-122.384,1410,4080
164,585000,2,1.75,1980,8550,1,average,7,990,990,1981,,98117,47.6989,-122.369,1480,6738
165,920000,5,2.25,2730,6000,1.5,average,8,2130,600,1927,,98105,47.6571,-122.281,2730,6000
166,885000,4,2.5,2830,5000,2,average,9,2830,0,1995,,98105,47.6597,-122.29,1950,5000
167,292500,4,2.5,2250,4495,2,average,7,2250,0,2008,,98042,47.3663,-122.114,2250,4500
168,301000,3,2.5,2420,4750,2,average,8,2420,0,2003,,98042,47.3663,-122.122,2690,4750
169,951000,5,3.25,3250,14342,2,bad,8,3250,0,1968,,98008,47.588,-122.116,2960,11044
170,430000,4,3,1850,9976,2,average,8,1850,0,1991,,98059,47.5059,-122.149,2270,8542
171,650000,3,2.25,2150,21235,1,bad,8,1590,560,1959,,98166,47.4336,-122.339,2570,18900
172,289000,3,1.75,1260,8400,1,average,7,1260,0,1954,,98148,47.4366,-122.335,1290,8750
173,505000,3,1.75,2519,8690,2,devastated,8,2519,0,1973,,98166,47.4428,-122.344,2500,9500
174,549000,3,1.75,1540,1044,3,average,8,1540,0,2014,,98115,47.6765,-122.32,1580,3090
175,425000,3,2.25,1660,6000,1,average,7,1110,550,1979,,98122,47.6113,-122.297,1440,4080
176,317625,3,2.75,2770,3809,1.5,devastated,7,1770,1000,1925,,98144,47.5747,-122.304,1440,4000
177,975000,4,2.5,2720,11049,2,average,10,2720,0,1989,,98004,47.5815,-122.192,2750,11049
178,287000,4,2.5,2240,4648,2,average,7,2240,0,2005,,98001,47.3378,-122.257,2221,4557
179,204000,3,1,1000,12070,1,bad,7,1000,0,1968,,98042,47.3621,-122.11,1010,12635
180,,5,2.25,3200,20158,1,average,8,1600,1600,1965,,98004,47.6303,-122.215,3390,20158
181,,5,3.25,4770,50094,1,bad,11,3070,1700,1973,,98005,47.6525,-122.16,3530,38917
182,325000,3,2,1260,5612,1,bad,7,1260,0,1972,,98034,47.7362,-122.179,1640,4745
183,571000,4,2,2750,7807,1.5,devastated,7,2250,500,1916,,98125,47.7168,-122.287,1510,7807
184,360000,4,2.5,2380,5000,2,average,8,2380,0,2005,,98038,47.3608,-122.036,2420,5000
185,349000,3,1.75,1790,50529,1,devastated,7,1090,700,1965,,98042,47.3511,-122.073,1940,50529
186,832500,4,4,3430,35102,2,bad,10,2390,1040,1986,,98075,47.5822,-121.987,3240,35020
187,380000,4,1.75,1760,7300,1,average,7,880,880,1956,,98008,47.6034,-122.125,1680,7500
188,480000,3,1,1040,5060,1,average,7,1040,0,1941,,98116,47.5636,-122.394,890,5060
189,410000,3,1,1410,5060,1,bad   ,7,910,500,1956,,98133,47.7073,-122.34,1130,5693
190,720000,4,2.5,3450,39683,2,average,10,3450,0,2002,,98010,47.342,-122.025,3350,39750
191,390000,3,2.5,2350,5100,2,average,8,2350,0,2003,,98038,47.3512,-122.008,2350,5363
192,360000,4,2.5,1900,5889,2,average,7,1900,0,1992,,98038,47.349,-122.031,1870,6405
193,355000,2,1,2020,6720,1,average,7,1010,1010,1948,,98118,47.5474,-122.291,1720,6720
194,356000,3,1.5,1680,8712,1,average,8,1680,0,1964,,98059,47.4811,-122.149,1850,8797
195,315000,3,1,960,6634,1,average,6,960,0,1952,,98125,47.7264,-122.31,1570,7203
196,940000,3,1.5,2140,3600,2,average,9,1900,240,1925,,98119,47.6337,-122.365,2020,4800
197,305000,5,2.25,2660,8400,1.5,devastated,7,2660,0,1961,,98092,47.2909,-122.189,1590,8165
198,461000,3,3.25,2770,6278,2,average,9,1980,790,2006,,98056,47.5228,-122.199,1900,7349
199,215000,2,2.25,1610,2040,2,bad,7,1610,0,1979,,98056,47.518,-122.194,1950,2025
200,335000,2,1.75,1030,1066,2,average,7,765,265,2006,,98136,47.5394,-122.387,1030,1106
201,243500,4,2.5,1980,7403,2,average,7,1980,0,1988,,98023,47.2897,-122.372,1980,7510
202,,5,2.75,3520,6353,2,bad,10,3520,0,2001,,98199,47.6506,-122.391,2520,6250
203,153000,3,1,1200,10500,1,average,7,1200,0,1962,,98023,47.322,-122.351,1350,10500
204,430000,3,1.5,1580,5000,1,average,8,1290,290,1939,,98117,47.687,-122.386,1570,4500
205,700000,3,1.5,1580,5000,1,average,8,1290,290,1939,,98117,47.687,-122.386,1570,4500
206,905000,4,2.5,3300,10250,1,average,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045
207,247500,3,1.75,1960,15681,1,average,7,1960,0,1967,,98032,47.3576,-122.277,1750,15616
